d1,d2,type,split,Neg samples
DB01590,DB00542,48,DB01063$h
DB00695,DB00727,48,DB11691$h
DB01558,DB00224,46,DB08867$t
DB00319,DB06696,74,DB01423$h
DB00240,DB08873,46,DB01291$t
DB01592,DB08930,74,DB01601$h
DB01275,DB09238,59,DB01333$h
DB00843,DB00951,46,DB00884$t
DB00521,DB12598,36,DB06717$t
DB01030,DB01129,72,DB01141$h
DB00604,DB09238,46,DB05109$t
DB01107,DB01012,46,DB06696$t
DB00945,DB01101,46,DB01248$t
DB00598,DB12598,36,DB08967$t
DB00193,DB01551,48,DB09280$h
DB09218,DB00860,48,DB11691$t
DB00214,DB00925,59,DB06202$t
DB01018,DB04920,48,DB00624$h
DB00864,DB00544,48,DB09034$t
DB00802,DB00695,48,DB11254$t
DB01590,DB01396,57,DB00768$t
DB06810,DB00768,71,DB00737$t
DB00705,DB09330,72,DB01022$t
DB08912,DB01349,74,DB01422$t
DB06684,DB01063,48,DB01005$t
DB00652,DB01356,48,DB00221$t
DB00813,DB01221,48,DB01353$h
DB00264,DB00169,72,DB00401$t
DB11126,DB01244,69,DB01339$t
DB00204,DB01015,19,DB01188$t
DB00258,DB00653,69,DB00668$t
DB00381,DB00705,46,DB00686$t
DB01282,DB09286,48,DB06154$h
DB00210,DB00939,48,DB01219$h
DB00950,DB08918,48,DB01203$h
DB00898,DB01100,15,DB09091$t
DB00780,DB00953,48,DB08804$h
DB01138,DB00177,46,DB09225$t
DB00363,DB00313,48,DB08873$h
DB06154,DB12598,5,DB08828$h
DB06736,DB00999,69,DB00578$t
DB00545,DB00960,53,DB01071$h
DB00184,DB09330,72,DB01215$t
DB00852,DB00734,60,DB01223$h
DB00875,DB01069,19,DB00245$t
DB09225,DB00660,48,DB00809$h
DB00298,DB06144,48,DB08873$t
DB00519,DB03585,48,DB00970$t
DB01551,DB00341,48,DB00940$t
DB06204,DB00384,48,DB13872$h
DB00937,DB01623,60,DB00636$h
DB00599,DB00215,48,DB00928$h
DB00308,DB00344,19,DB00193$h
DB09225,DB00283,48,DB06697$h
DB00474,DB00458,3,DB01407$h
DB01544,DB00207,46,DB00689$h
DB00418,DB00327,3,DB00254$h
DB00264,DB01113,48,DB09125$t
DB01020,DB00224,46,DB06663$t
