d1,d2,type,split,Neg samples
DB08815,DB00188,72,DB01588$h
DB00614,DB04840,59,DB00863$h
DB00273,DB09128,48,DB11093$t
DB00374,DB01392,36,DB06777$t
DB08889,DB01078,57,DB00262$t
DB01295,DB08868,53,DB08967$h
DB11362,DB06441,5,DB00771$h
DB01250,DB08797,56,DB00663$h
DB00461,DB09167,46,DB09236$t
DB01320,DB09128,74,DB01338$h
DB11093,DB09216,69,DB00589$t
DB01169,DB00333,19,DB09289$h
DB00697,DB00366,15,DB00126$t
DB00252,DB06207,3,DB00451$h
DB01221,DB00268,31,DB13158$t
DB00248,DB00889,63,DB00390$h
DB00554,DB01137,26,DB01179$t
DB00182,DB00819,71,DB00628$h
DB00607,DB01024,10,DB00441$t
DB00999,DB06700,54,DB00790$h
DB01592,DB00448,66,DB09063$t
DB00222,DB01168,8,DB01050$h
DB12364,DB04896,65,DB00578$h
DB00946,DB01395,11,DB06729$h
DB01576,DB00341,75,DB00317$h
DB00610,DB09245,70,DB00241$t
DB01580,DB00397,13,DB05316$t
DB00182,DB01463,60,DB01615$h
DB11156,DB01082,39,DB00897$t
DB08938,DB00846,2,DB00814$h
DB06204,DB09272,38,DB00274$t
DB00180,DB01406,73,DB01394$h
DB01071,DB01238,81,DB00408$h
DB04552,DB00214,28,DB01355$t
DB09070,DB00461,80,DB01112$h
DB00862,DB00214,9,DB09273$h
DB00235,DB00374,52,DB09154$t
DB00373,DB06709,45,DB00379$t
DB01186,DB04861,24,DB09083$t
DB00476,DB01364,84,DB00471$t
DB01169,DB04868,32,DB08808$t
DB00320,DB01210,18,DB00568$h
DB00655,DB00232,82,DB06212$h
DB02300,DB01325,50,DB00850$t
DB01095,DB09055,47,DB00369$t
DB00903,DB01338,16,DB09128$t
DB08897,DB01199,1,DB09555$h
DB00940,DB00761,58,DB00398$t
DB00176,DB06702,76,DB00593$t
DB01337,DB00314,20,DB00792$t
DB01171,DB00295,7,DB01602$h
DB01356,DB06016,34,DB09323$h
DB00531,DB01259,14,DB04855$h
DB00563,DB08895,33,DB01069$h
DB00652,DB01577,68,DB01319$t
